,name,portion,caclium,fat,carbohydrates,vitamins,calories,protein,calcium
0,apple pie,113.0g,,15.0,54.0,0.0,354,1.77,0.0
1,baby back ribs,112.0g,,9.82,0.0,0.0,170,18.8,26.0
2,baklava,nannan,,29.34,37.55,0.0013,440,6.58,40.0
3,beef carpaccio,NoneNone,,6.0,4.19,0.002,148,18.48,20.0
4,beef tartare,NoneNone,,15.6,0.34,0.0002,216,17.45,28.0
5,beet salad,227.0g,,5.29,11.0,0.4542,93.0,1.32,18.0
6,beignets,nannan,,20.18,53.69,0.44210000000000005,417,5.46,90.0
7,bibimbap,nannan,,2.44,8.11,0.4515,76,5.5,25.0
8,bread pudding,113.0g,,12.4,43.4,0.398,307,4.42,44.0
9,breakfast burrito,283.0g,,7.77,26.2,0.5342,198,8.13,7.0
10,bruschetta,nannan,,7.61,21.32,0.5378999999999999,171,4.29,50.0
11,caesar salad,254.0g,,15.8,7.48,4.1465,189,5.91,157.0
12,cannoli,95.0g,,14.7,42.1,0.0,328,6.32,21.0
13,caprese salad,191.0g,,10.5,9.42,0.0,152,5.76,79.0
14,carrot cake,85.0g,,25.9,47.1,1.47,424,2.35,24.0
15,ceviche,nannan,,0.76,3.58,1.4886,63,10.53,22.0
16,cheese plate,NoneNone,,11.5,15.6,0.2726,192,6.46,146.0
17,cheesecake,57.0g,,19.3,36.8,0.0,351,7.02,35.0
18,chicken curry,nannan,,6.48,6.54,0.0089,107,6.48,20.0
19,chicken quesadilla,113.0g,,10.6,22.1,0.2661,239,14.2,221.0
20,chicken wings,113.0g,,18.6,0.0,0.0,283,18.6,0.0
21,chocolate cake,66.0g,,22.7,57.6,0.0,439,3.03,30.0
22,chocolate mousse,84.0g,,23.8,19.0,0.0007,269,1.19,36.0
23,churros,nannan,,22.21,48.87,0.0012,419,6.05,110.0
24,clam chowder,245.0g,,8.57,6.53,0.4117,118,3.67,41.0
25,club sandwich,NoneNone,,7.65,21.38,0.4081,220,15.98,79.0
26,crab cakes,113.0g,,16.8,7.08,0.4081,239,14.2,111.0
27,creme brulee,nannan,,2.83,17.85,0.408,113,4.06,115.0
28,croque madame,40.0g,,7.5,70.0,0.0,375,15.0,0.0
29,cup cakes,45.0g,,13.3,60.0,0.0,356,2.22,222.0
30,deviled eggs,28.0g,,25.0,0.0,0.714,286,10.7,0.0
31,donuts,57.0g,,17.5,61.4,0.0,404,3.51,175.0
32,dumplings,76.0g,,1.97,23.7,0.2693,145,9.21,26.0
33,edamame,85.0GRM,,4.71,7.06,0.2693,106,11.8,59.0
